Serial setup.
Timer 1 setup for 25 kHz PWM.
Tachometer setup.
Timer 1 setup for control loop.
A1 = 63,	 pwm = 19,	 tach = 4
A1 = 62,	 pwm = 19,	 tach = 4
A1 = 62,	 pwm = 19,	 tach = 4
A1 = 63,	 pwm = 19,	 tach = 3
A1 = 63,	 pwm = 19,	 tach = 4
A1 = 64,	 pwm = 20,	 tach = 4
A1 = 63,	 pwm = 19,	 tach = 4
A1 = 63,	 pwm = 19,	 tach = 3
A1 = 66,	 pwm = 20,	 tach = 4
A1 = 67,	 pwm = 20,	 tach = 4
A1 = 66,	 pwm = 20,	 tach = 4
A1 = 67,	 pwm = 20,	 tach = 4
A1 = 66,	 pwm = 20,	 tach = 3
A1 = 69,	 pwm = 21,	 tach = 4
A1 = 69,	 pwm = 21,	 tach = 4
A1 = 70,	 pwm = 21,	 tach = 4
A1 = 73,	 pwm = 22,	 tach = 4
A1 = 73,	 pwm = 22,	 tach = 4
A1 = 73,	 pwm = 22,	 tach = 4
A1 = 73,	 pwm = 22,	 tach = 4
A1 = 74,	 pwm = 23,	 tach = 4
A1 = 77,	 pwm = 24,	 tach = 4
A1 = 79,	 pwm = 24,	 tach = 4
A1 = 81,	 pwm = 25,	 tach = 4
A1 = 82,	 pwm = 25,	 tach = 4
A1 = 85,	 pwm = 26,	 tach = 4
A1 = 87,	 pwm = 27,	 tach = 4
A1 = 87,	 pwm = 27,	 tach = 4
A1 = 86,	 pwm = 26,	 tach = 4
A1 = 87,	 pwm = 27,	 tach = 5
A1 = 86,	 pwm = 26,	 tach = 4
A1 = 86,	 pwm = 26,	 tach = 4
A1 = 86,	 pwm = 26,	 tach = 4
A1 = 87,	 pwm = 27,	 tach = 4
A1 = 88,	 pwm = 27,	 tach = 4
A1 = 89,	 pwm = 27,	 tach = 4
A1 = 90,	 pwm = 28,	 tach = 4
A1 = 91,	 pwm = 28,	 tach = 4
A1 = 93,	 pwm = 29,	 tach = 5
A1 = 97,	 pwm = 30,	 tach = 4
A1 = 99,	 pwm = 30,	 tach = 4
A1 = 99,	 pwm = 30,	 tach = 5
A1 = 99,	 pwm = 30,	 tach = 4
A1 = 99,	 pwm = 30,	 tach = 4
A1 = 99,	 pwm = 30,	 tach = 4
A1 = 99,	 pwm = 30,	 tach = 4
A1 = 99,	 pwm = 30,	 tach = 4
A1 = 99,	 pwm = 30,	 tach = 5
A1 = 99,	 pwm = 30,	 tach = 4
A1 = 100,	 pwm = 31,	 tach = 4
A1 = 99,	 pwm = 30,	 tach = 4
A1 = 99,	 pwm = 30,	 tach = 6
A1 = 99,	 pwm = 30,	 tach = 5
A1 = 100,	 pwm = 31,	 tach = 4
A1 = 101,	 pwm = 31,	 tach = 4
A1 = 102,	 pwm = 31,	 tach = 4
A1 = 105,	 pwm = 32,	 tach = 4
A1 = 106,	 pwm = 33,	 tach = 5
A1 = 106,	 pwm = 33,	 tach = 4
A1 = 106,	 pwm = 33,	 tach = 4
A1 = 107,	 pwm = 33,	 tach = 5
A1 = 107,	 pwm = 33,	 tach = 5
A1 = 106,	 pwm = 33,	 tach = 4
A1 = 107,	 pwm = 33,	 tach = 4
A1 = 109,	 pwm = 34,	 tach = 5
A1 = 110,	 pwm = 34,	 tach = 4
A1 = 113,	 pwm = 35,	 tach = 4
A1 = 115,	 pwm = 35,	 tach = 6
A1 = 116,	 pwm = 36,	 tach = 4
A1 = 119,	 pwm = 37,	 tach = 4
A1 = 123,	 pwm = 38,	 tach = 5
A1 = 125,	 pwm = 39,	 tach = 4
A1 = 126,	 pwm = 39,	 tach = 5
A1 = 126,	 pwm = 39,	 tach = 4
A1 = 128,	 pwm = 40,	 tach = 5
A1 = 128,	 pwm = 40,	 tach = 5
A1 = 128,	 pwm = 40,	 tach = 5
A1 = 128,	 pwm = 40,	 tach = 4
A1 = 128,	 pwm = 40,	 tach = 5
A1 = 132,	 pwm = 41,	 tach = 4
A1 = 134,	 pwm = 41,	 tach = 5
A1 = 137,	 pwm = 42,	 tach = 4
A1 = 139,	 pwm = 43,	 tach = 5
A1 = 141,	 pwm = 44,	 tach = 5
A1 = 142,	 pwm = 44,	 tach = 4
A1 = 143,	 pwm = 44,	 tach = 5
A1 = 143,	 pwm = 44,	 tach = 6
A1 = 144,	 pwm = 45,	 tach = 4
A1 = 144,	 pwm = 45,	 tach = 5
A1 = 144,	 pwm = 45,	 tach = 5
A1 = 144,	 pwm = 45,	 tach = 4
A1 = 152,	 pwm = 47,	 tach = 5
