Serial setup.
Timer 1 setup for 25 kHz PWM.
Tachometer setup.
Timer 1 setup for control loop.
Fan OFF.
Fan ON.
Fan OFF.
Fan ON.
A1 = 269,	 pwm = 84,	 tach = 242
A1 = 779,	 pwm = 243,	 tach = 13
A1 = 787,	 pwm = 245,	 tach = 12
A1 = 788,	 pwm = 246,	 tach = 14
A1 = 787,	 pwm = 245,	 tach = 12
A1 = 787,	 pwm = 245,	 tach = 13
A1 = 794,	 pwm = 248,	 tach = 13
A1 = 819,	 pwm = 255,	 tach = 13
A1 = 823,	 pwm = 257,	 tach = 12
A1 = 822,	 pwm = 256,	 tach = 12
A1 = 824,	 pwm = 257,	 tach = 13
A1 = 823,	 pwm = 257,	 tach = 12
A1 = 823,	 pwm = 257,	 tach = 13
A1 = 830,	 pwm = 259,	 tach = 14
A1 = 848,	 pwm = 265,	 tach = 13
A1 = 847,	 pwm = 264,	 tach = 14
A1 = 848,	 pwm = 265,	 tach = 13
A1 = 848,	 pwm = 265,	 tach = 13
A1 = 847,	 pwm = 264,	 tach = 14
A1 = 848,	 pwm = 265,	 tach = 13
A1 = 863,	 pwm = 269,	 tach = 12
A1 = 871,	 pwm = 272,	 tach = 13
A1 = 871,	 pwm = 272,	 tach = 14
A1 = 873,	 pwm = 272,	 tach = 14
A1 = 873,	 pwm = 272,	 tach = 13
A1 = 872,	 pwm = 272,	 tach = 13
A1 = 872,	 pwm = 272,	 tach = 13
A1 = 872,	 pwm = 272,	 tach = 13
A1 = 874,	 pwm = 273,	 tach = 14
A1 = 887,	 pwm = 277,	 tach = 14
A1 = 902,	 pwm = 281,	 tach = 13
A1 = 902,	 pwm = 281,	 tach = 14
A1 = 902,	 pwm = 281,	 tach = 13
A1 = 902,	 pwm = 281,	 tach = 13
A1 = 901,	 pwm = 281,	 tach = 14
A1 = 902,	 pwm = 281,	 tach = 15
A1 = 903,	 pwm = 282,	 tach = 13
A1 = 904,	 pwm = 282,	 tach = 14
A1 = 902,	 pwm = 281,	 tach = 13
A1 = 903,	 pwm = 282,	 tach = 14
A1 = 903,	 pwm = 282,	 tach = 14
A1 = 903,	 pwm = 282,	 tach = 13
A1 = 903,	 pwm = 282,	 tach = 14
A1 = 903,	 pwm = 282,	 tach = 13
A1 = 901,	 pwm = 281,	 tach = 14
A1 = 898,	 pwm = 280,	 tach = 15
A1 = 894,	 pwm = 279,	 tach = 13
A1 = 888,	 pwm = 277,	 tach = 14
A1 = 887,	 pwm = 277,	 tach = 13
A1 = 887,	 pwm = 277,	 tach = 15
A1 = 887,	 pwm = 277,	 tach = 13
A1 = 879,	 pwm = 274,	 tach = 14
A1 = 865,	 pwm = 270,	 tach = 13
A1 = 865,	 pwm = 270,	 tach = 13
A1 = 865,	 pwm = 270,	 tach = 14
A1 = 850,	 pwm = 265,	 tach = 13
A1 = 842,	 pwm = 263,	 tach = 13
A1 = 842,	 pwm = 263,	 tach = 13
A1 = 842,	 pwm = 263,	 tach = 13
A1 = 828,	 pwm = 258,	 tach = 13
A1 = 827,	 pwm = 258,	 tach = 13
A1 = 827,	 pwm = 258,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 827,	 pwm = 258,	 tach = 12
A1 = 827,	 pwm = 258,	 tach = 13
A1 = 825,	 pwm = 257,	 tach = 13
A1 = 825,	 pwm = 257,	 tach = 12
A1 = 825,	 pwm = 257,	 tach = 13
A1 = 824,	 pwm = 257,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 12
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 12
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 827,	 pwm = 258,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 14
A1 = 825,	 pwm = 257,	 tach = 12
A1 = 826,	 pwm = 258,	 tach = 15
A1 = 826,	 pwm = 258,	 tach = 15
A1 = 827,	 pwm = 258,	 tach = 12
A1 = 826,	 pwm = 258,	 tach = 14
A1 = 825,	 pwm = 257,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 12
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 825,	 pwm = 257,	 tach = 13
A1 = 825,	 pwm = 257,	 tach = 13
A1 = 825,	 pwm = 257,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 825,	 pwm = 257,	 tach = 12
A1 = 826,	 pwm = 258,	 tach = 14
A1 = 825,	 pwm = 257,	 tach = 14
A1 = 826,	 pwm = 258,	 tach = 12
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 827,	 pwm = 258,	 tach = 12
A1 = 825,	 pwm = 257,	 tach = 13
A1 = 825,	 pwm = 257,	 tach = 13
A1 = 825,	 pwm = 257,	 tach = 13
A1 = 825,	 pwm = 257,	 tach = 14
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 825,	 pwm = 257,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 12
A1 = 826,	 pwm = 258,	 tach = 13
A1 = 826,	 pwm = 258,	 tach = 14
A1 = 828,	 pwm = 258,	 tach = 14
A1 = 829,	 pwm = 259,	 tach = 12
A1 = 833,	 pwm = 260,	 tach = 13
A1 = 837,	 pwm = 261,	 tach = 14
A1 = 842,	 pwm = 263,	 tach = 12
A1 = 843,	 pwm = 263,	 tach = 13
A1 = 844,	 pwm = 263,	 tach = 13
A1 = 843,	 pwm = 263,	 tach = 13
A1 = 843,	 pwm = 263,	 tach = 13
A1 = 843,	 pwm = 263,	 tach = 13
A1 = 837,	 pwm = 261,	 tach = 13
A1 = 831,	 pwm = 259,	 tach = 13
A1 = 832,	 pwm = 260,	 tach = 12
A1 = 832,	 pwm = 260,	 tach = 13
A1 = 821,	 pwm = 256,	 tach = 13
A1 = 809,	 pwm = 252,	 tach = 13
A1 = 808,	 pwm = 252,	 tach = 12
A1 = 808,	 pwm = 252,	 tach = 13
A1 = 803,	 pwm = 250,	 tach = 12
A1 = 793,	 pwm = 247,	 tach = 13
A1 = 794,	 pwm = 248,	 tach = 12
A1 = 794,	 pwm = 248,	 tach = 13
A1 = 791,	 pwm = 247,	 tach = 13
A1 = 776,	 pwm = 242,	 tach = 13
A1 = 773,	 pwm = 241,	 tach = 12
A1 = 772,	 pwm = 241,	 tach = 12
A1 = 761,	 pwm = 237,	 tach = 13
A1 = 755,	 pwm = 235,	 tach = 13
A1 = 754,	 pwm = 235,	 tach = 13
A1 = 755,	 pwm = 235,	 tach = 12
A1 = 746,	 pwm = 233,	 tach = 12
A1 = 746,	 pwm = 233,	 tach = 12
A1 = 745,	 pwm = 232,	 tach = 12
A1 = 742,	 pwm = 231,	 tach = 12
A1 = 734,	 pwm = 229,	 tach = 11
A1 = 735,	 pwm = 229,	 tach = 12
A1 = 724,	 pwm = 226,	 tach = 12
A1 = 714,	 pwm = 223,	 tach = 11
A1 = 714,	 pwm = 223,	 tach = 12
A1 = 708,	 pwm = 221,	 tach = 11
A1 = 689,	 pwm = 215,	 tach = 12
A1 = 691,	 pwm = 215,	 tach = 11
A1 = 691,	 pwm = 215,	 tach = 11
A1 = 676,	 pwm = 211,	 tach = 11
A1 = 670,	 pwm = 209,	 tach = 11
A1 = 670,	 pwm = 209,	 tach = 12
A1 = 657,	 pwm = 205,	 tach = 11
A1 = 648,	 pwm = 202,	 tach = 11
A1 = 648,	 pwm = 202,	 tach = 13
A1 = 647,	 pwm = 202,	 tach = 10
A1 = 644,	 pwm = 201,	 tach = 11
A1 = 644,	 pwm = 201,	 tach = 11
A1 = 645,	 pwm = 201,	 tach = 10
A1 = 645,	 pwm = 201,	 tach = 11
A1 = 645,	 pwm = 201,	 tach = 11
A1 = 644,	 pwm = 201,	 tach = 12
A1 = 644,	 pwm = 201,	 tach = 10
A1 = 644,	 pwm = 201,	 tach = 11
A1 = 645,	 pwm = 201,	 tach = 10
A1 = 644,	 pwm = 201,	 tach = 12
